"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"GPU Lifetimes on Titan Supercomputer: Survival Analysis and Reliability","G. Ostrouchov; D. Maxwell; R. A. Ashraf; C. Engelmann; M. Shankar; J. H. Rogers","Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge National Laboratory, Oak Ridge, TN, USA; Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, TN, USA; Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge National Laboratory, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge National Laboratory, Oak Ridge, TN, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"The Cray XK7 Titan was the top supercomputer system in the world for a long time and remained critically important throughout its nearly seven year life. It was an interesting machine from a reliability viewpoint as most of its power came from 18,688 GPUs whose operation was forced to execute three rework cycles, two on the GPU mechanical assembly and one on the GPU circuitboards. We write about the last rework cycle and a reliability analysis of over 100,000 years of GPU lifetimes during Titan's 6-year-long productive period. Using time between failures analysis and statistical survival analysis techniques, we find that GPU reliability is dependent on heat dissipation to an extent that strongly correlates with detailed nuances of the cooling architecture and job scheduling. We describe the history, data collection, cleaning, and analysis and give recommendations for future supercomputing systems. We make the data and our analysis codes publicly available.","","978-1-7281-9998-6","10.1109/SC41405.2020.00045","U.S. Department of Energy; Battelle; U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355319","GPU;reliability;supercomputer;NVIDIA;Cray;large-scale systems;log analysis;MTBF;Kaplan-Meier survival;Cox regression;GPU failure data set","Heating systems;Resistors;Graphics processing units;Market research;Supercomputers;Planning;Integrated circuit reliability","cooling;failure analysis;graphics processing units;mainframes;parallel machines;reliability;scheduling","GPU lifetimes;Titan supercomputer;Cray XK7 Titan;rework cycle;GPU mechanical assembly;GPU circuitboards;reliability analysis;failures analysis;statistical survival analysis;GPU reliability;future supercomputing systems;analysis codes;cooling architecture;job scheduling;data collection","",9.0,"",37.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Iris: Allocation Banking and Identity and Access Management for the Exascale Era","G. Torok; M. R. Day; R. J. Hartman-Baker; C. Snavely","National Energy Research Scientific Computing Center, Lawrence Berkeley National Laboratory, Berkeley, United States of America; National Energy Research Scientific Computing Center, Lawrence Berkeley National Laboratory, Berkeley, United States of America; National Energy Research Scientific Computing Center, Lawrence Berkeley National Laboratory, Berkeley, United States of America; National Energy Research Scientific Computing Center, Lawrence Berkeley National Laboratory, Berkeley, United States of America","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,11,"Without a reliable and scalable system for managing authorized users and ensuring they receive their allocated share of computational and storage resources, modern HPC centers would not be able to function. Exascale will amplify these demands with greater machine scale, more users, higher job throughput, and ever-increasing need for management insight and automation throughout the HPC environment. When our legacy system reached retirement age, NERSC took the opportunity to design and build Iris not only to meet our current needs, with 8,000 users and tens of thousands of jobs per day, but also to scale well into the exascale era. In this paper, we describe how we have designed Iris to meet these needs and discuss its key features as well as our implementation experience.","","978-1-7281-9998-6","10.1109/SC41405.2020.00046","Office of Science; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355247","allocation banking;identity and access management","Process control;Banking;Throughput;Resource management;Reliability;Retirement;Iris recognition","authorisation;parallel processing;resource allocation","Iris;access management;computational storage resources;modern HPC centers;machine scale;job throughput;HPC environment;legacy system;NERSC","",2.0,"",26.0,"USGov","22 Feb 2021","","","IEEE","IEEE Conferences"
"Optimizing Deep Learning Recommender Systems Training on CPU Cluster Architectures","D. Kalamkar; E. Georganas; S. Srinivasan; J. Chen; M. Shiryaev; A. Heinecke","Intel Technology India Private Ltd., India; Intel Corporation, USA; Intel Technology India Private Ltd., India; Intel China Co. Ltd., China; Intel Russia, Russia; Intel Corporation, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"During the last two years, the goal of many researchers has been to squeeze the last bit of performance out of HPC system for AI tasks. Often this discussion is held in the context of how fast ResNet50 can be trained. Unfortunately, ResNet50 is no longer a representative workload in 2020. Thus, we focus on Recommender Systems which account for most of the AI cycles in cloud computing centers. More specifically, we focus on Facebook's DLRM benchmark. By enabling it to run on latest CPU hardware and software tailored for HPC, we are able to achieve up to two-orders of magnitude improvement in performance on a single socket compared to the reference CPU implementation, and high scaling efficiency up to 64 sockets, while fitting ultra-large datasets which cannot be held in single node's memory. Therefore, this paper discusses and analyzes novel optimization and parallelization techniques for the various operators in DLRM. Several optimizations (e.g. tensorcontraction accelerated MLPs, framework MPI progression, BFLOAT16 training with up to 1.8× speed-up) are general and transferable to many other deep learning topologies.","","978-1-7281-9998-6","10.1109/SC41405.2020.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355237","","Training;Deep learning;Sockets;Topology;Artificial intelligence;Recommender systems;Optimization","cloud computing;learning (artificial intelligence);message passing;microprocessor chips;parallel architectures;recommender systems","magnitude improvement;single socket;ultra-large datasets;single node;parallelization techniques;BFLOAT16 training;Recommender Systems training;CPU cluster architectures;HPC system;AI tasks;ResNet50;representative workload;AI cycles;cloud computing centers;scaling efficiency;novel optimization analysis;deep learning topology;Facebook DLRM benchmark","",9.0,"",42.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Herring: Rethinking the Parameter Server at Scale for the Cloud","I. Thangakrishnan; D. Cavdar; C. Karakus; P. Ghai; Y. Selivonchyk; C. Pruce","Amazon Web Services; Amazon Web Services; Amazon Web Services; Amazon Web Services; Amazon Web Services; Amazon Web Services","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,13,"Training large deep neural networks is time-consuming and may take days or even weeks to complete. Although parameter-server-based approaches were initially popular in distributed training, scalability issues led the field to move towards all-reduce-based approaches. Recent developments in cloud networking technologies, however, such as the Elastic Fabric Adapter (EFA) and Scalable Reliable Datagram (SRD), motivate a re-thinking of the parameter-server approach to address its fundamental inefficiencies. To this end, we introduce a novel communication library, Herring, which is designed to alleviate the performance bottlenecks in parameter-server-based training. We show that gradient reduction with Herring is twice as fast as all-reduce-based methods. We further demonstrate that training deep learning models like $\mathrm{B}\mathrm{E}\mathrm{R}\mathrm{T}_{\mathrm{l}\mathrm{a}\mathrm{r}\mathrm{g}\mathrm{e}}$ using Herring outperforms all-reduce-based training, achieving 85% scaling efficiency on large clusters with up to 2048 NVIDIA V100 GPUs without accuracy drop.","","978-1-7281-9998-6","10.1109/SC41405.2020.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355279","Deep Learning;Data Parallel Training;Scalability;Distributed Parallel Computing","Training;Deep learning;Scalability;Neural networks;Throughput;Libraries;Servers","cloud computing;learning (artificial intelligence);neural nets","Herring;parameter server;deep neural networks;parameter-server-based approaches;distributed training;scalability issues;all-reduce-based approaches;cloud networking technologies;scalable reliable datagram;parameter-server approach;fundamental inefficiencies;parameter-server-based training;all-reduce-based methods;training deep learning models;elastic fabric adapter","",2.0,"",39.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"GEMS: GPU-Enabled Memory-Aware Model-Parallelism System for Distributed DNN Training","A. Jain; A. A. Awan; A. M. Aljuhani; J. M. Hashmi; Q. G. Anthony; H. Subramoni; D. K. Panda; R. Machiraju; A. Parwani","Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Pathology, The Ohio State University","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"Data-parallelism has become an established paradigm to train DNNs that fit inside GPU memory on large-scale HPC systems. However, model-parallelism is required to train out-of-core DNNs. In this paper, we deal with emerging requirements brought forward by very large DNNs being trained using high-resolution images common in digital pathology. To address these, we propose, design, and implement GEMS; a GPU-Enabled Memory-Aware Model-Parallelism System. We present several design schemes like GEMS-MAST, GEMS-MASTER, and GEMS-Hybrid that offer excellent speedups over state-of-the-art systems like Mesh-TensorFlow and FlexFlow. Furthermore, we combine model-parallelism and data-parallelism to train a 1000-1ayer ResNet-lk model using 1,024 Volta V100 GPUs with 97.32% scaling-efficiency. For the real-world histopathology whole-slide-image (WSI) of 100,000 x 100,000 pixels, we train custom ResNet-110-v2 on image tiles of size 1024 x 1024 and reduce the training time from seven hours to 28 minutes.","","978-1-7281-9998-6","10.1109/SC41405.2020.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355254","DNN;Model Parallelism;Keras;TensorFlow;Eager Execution;MPI","Training;Histopathology;Computational modeling;High performance computing;Graphics processing units;Distributed databases;Data models","acoustic signal processing;graphics processing units;image resolution;learning (artificial intelligence);neural nets;parallel processing;speech recognition","large-scale HPC systems;data-parallelism;1000-1ayer ResNet-lk model;training time;distributed DNN training;GPU memory;GPU-enabled memory-aware model-parallelism system;GEMS-MAST;GEMS-Hybrid;ResNet-110-v2;image tiles","",8.0,"",30.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Experimental Evaluation of NISQ Quantum Computers: Error Measurement, Characterization, and Implications","T. Patel; A. Potharaju; B. Li; R. B. Roy; D. Tiwari","Northeastern University; Northeastern University; Northeastern University; Northeastern University; Northeastern University","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"Noisy Intermediate-Scale Quantum (NISQ) computers are being increasingly used for executing early-stage quantum programs to establish the practical realizability of existing quantum algorithms. These quantum programs have uses cases in the realm of high-performance computing ranging from molecular chemistry and physics simulations to addressing NP-complete optimization problems. However, NISQ devices are prone to multiple types of errors, which affect the fidelity and reproducibility of the program execution. As the technology is still primitive, our understanding of these quantum machines and their error characteristics is limited. To bridge that understanding gap, this is the first work to provide a systematic and rich experimental evaluation of IBM Quantum Experience (QX) quantum computers of different scales and topologies. Our experimental evaluation uncovers multiple important and interesting aspects of benchmarking and evaluating quantum program on NISQ machines. We have open-sourced our experimental framework and dataset to help accelerate the evaluation of quantum computing systems.","","978-1-7281-9998-6","10.1109/SC41405.2020.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355264","Quantum Computing;Performance Evaluation;Computer Errors;Error Analysis;Error Probability","Computers;Quantum computing;Systematics;Quantum algorithm;Measurement uncertainty;Logic gates;Topology","computational complexity;optimisation;quantum computing;quantum noise","quantum algorithms;high-performance computing;molecular chemistry;NISQ devices;quantum machines;systematic evaluation;IBM Quantum Experience quantum computers;quantum program;NISQ machines;quantum computing systems;NISQ quantum computers;error measurement;noisy intermediate-scale quantum computers;quantum programs","",7.0,"",63.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Co-Design for A64FX Manycore Processor and ”Fugaku”","M. Sato; Y. Ishikawa; H. Tomita; Y. Kodama; T. Odajima; M. Tsuji; H. Yashiro; M. Aoki; N. Shida; I. Miyoshi; K. Hirai; A. Furuya; A. Asato; K. Morita; T. Shimizu","RIKEN Center for Computational Science; RIKEN Center for Computational Science; RIKEN Center for Computational Science; RIKEN Center for Computational Science; RIKEN Center for Computational Science; RIKEN Center for Computational Science; RIKEN Center for Computational Science; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan; FUJITSU LIMITED, Japan","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"We have been carrying out the FLAGSHIP 2020 Project to develop the Japanese next-generation flagship supercomputer, the Post-K, recently named “Fugaku”. We have designed an original many core processor based on Armv8 instruction sets with the Scalable Vector Extension (SVE), an A64FX processor, as well as a system including interconnect and a storage subsystem with the industry partner, Fujitsu. The “co-design” of the system and applications is a key to making it power efficient and high performance. We determined many architectural parameters by reflecting an analysis of a set of target applications provided by applications teams. In this paper, we present the pragmatic practice of our co-design effort for “Fugaku”. As a result, the system has been proven to be a very power-efficient system, and it is confirmed that the performance of some target applications using the whole system is more than 100 times the performance of the K computer.","","978-1-7281-9998-6","10.1109/SC41405.2020.00051","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355239","exascale computing;co-design;many core processor;high-performance computing","Industries;Instruction sets;High performance computing;Supercomputers;Manycore processors;Next generation networking;Pragmatics","instruction sets;microprocessor chips;multiprocessing systems;performance evaluation;power aware computing","Fugaku;power-efficient system;A64FX manycore processor;Japanese next-generation flagship supercomputer;Armv8 instruction;scalable vector extension;SVE;A64FX processor;storage subsystem;architectural parameters;K computer","",33.0,"",39.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Chronicles of Astra: Challenges and Lessons from the First Petascale Arm Supercomputer","K. Pedretti; A. J. Younge; S. D. Hammond; J. H. Laros III; M. L. Curry; M. J. Aguilar; R. J. Hoekstra; R. Brightwell","Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA; Center for Computing Research Sandia National Laboratories, Albuquerque, New Mexico, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"Arm processors have been explored in HPC for several years, however there has not yet been a demonstration of viability for supporting large-scale production workloads. In this paper, we offer a retrospective on the process of bringing up Astra, the first Petascale supercomputer based on 64-bit Arm processors, and validating its ability to run production HPC applications. Through this process several immature technology gaps were addressed, including software stack enablement, Linux bugs at scale, thermal management issues, power management capabilities, and advanced container support. From this experience, several lessons learned are formulated that contributed to the successful deployment of Astra. These insights can be helpful to accelerate deploying and maturing other first-seen HPC technologies. With Astra now supporting many users running a diverse set of production applications at multi-thousand node scales, we believe this constitutes strong supporting evidence that Arm is a viable technology for even the largest-scale supercomputer deployments.","","978-1-7281-9998-6","10.1109/SC41405.2020.00052","Sandia National Laboratories; U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355311","HPC;Arm;Prototype;Supercomputer;Practice","Program processors;Power system management;Linux;Production;Thermal management;Supercomputers;Software","Linux;mainframes;microprocessor chips;parallel machines;thermal management (packaging)","Astra;large-scale production workloads;64-bit Arm processors;immature technology gaps;software stack enablement;Linux bugs;thermal management;power management capabilities;advanced container support;HPC technologies;production applications;multithousand node scales;largest-scale supercomputer deployments;Petascale Arm supercomputer","",5.0,"",58.0,"USGov","22 Feb 2021","","","IEEE","IEEE Conferences"
"PLINER: Isolating Lines of Floating-Point Code for Compiler-Induced Variability","H. Guo; I. Laguna; C. Rubio-González","Department of Computer Science, University of California, Davis, Davis, CA, USA; Center for Applied Scientific Computing, Lawrence Livermore National Laboratory, Livermore, CA, USA; Department of Computer Science, University of California, Davis, Davis, CA, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"Scientific applications are often impacted by numerical inconsistencies when using different compilers or when a compiler is used with different optimization levels; such inconsistencies hinder reproducibility and can be hard to diagnose. We present PLINER, a tool to automatically pinpoint code lines that trigger compiler-induced variability. PLINER uses a novel approach to enhance floating-point precision at different levels of code granularity, and performs a guided search to identify locations affected by numerical inconsistencies. We demonstrate PLINER on a real-world numerical inconsistency that required weeks to diagnose, which PLINER isolates in minutes. We also evaluate PLiNER on 100 synthetic programs, and the NAS Parallel Benchmarks (NPB). On the synthetic programs, PLiNER detects the affected lines of code 87% of the time while the stateof-the-art approach only detects the affected lines 6% of the time. Furthermore, PLINER successfully isolates all numerical inconsistencies found in the NPB.","","978-1-7281-9998-6","10.1109/SC41405.2020.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355325","reproducibility;numerical reliability;floatingpoint arithmetic;compiler optimizations;scientific computing","Productivity;Program processors;High performance computing;Computer architecture;Tools;Reliability;Optimization","floating point arithmetic;optimisation;parallel processing;program compilers","floating-point code;code lines;floating-point precision;numerical inconsistency;PLiNER;compiler-induced variability;NAS Parallel Benchmarks;NPB","",4.0,"",30.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Tuning Floating-Point Precision Using Dynamic Program Information and Temporal Locality","H. Brunie; C. Iancu; K. Z. Ibrahim; P. Brisk; B. Cook","Lawrence Berkeley National Laboratory; Lawrence Berkeley National Laboratory; Lawrence Berkeley National Laboratory; University of California, Riverside; Lawrence Berkeley National Laboratory","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"We present a methodology for precision tuning of full applications. These techniques must select a search space composed of either variables or instructions and provide a scalable search strategy. In full application settings one cannot assume compiler support for practical reasons. Thus, an additional important challenge is enabling code refactoring. We argue for an instruction-based search space and we show: 1) how to exploit dynamic program information based on call stacks; and 2) how to exploit the iterative nature of scientific codes, combined with temporal locality. We applied the methodology to tune the implementation of scientific codes written in a combination of Python, CUDA, C++ and Fortran, tuning calls to math exp library functions. The iterative search refinement always reduces the search complexity and the number of steps to solution. Dynamic program information increases search efficacy. Using this approach, we obtain application runtime performance improvements up to 27%.","","978-1-7281-9998-6","10.1109/SC41405.2020.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355251","","Tuners;Runtime;Buildings;Graphics processing units;C++ languages;Search problems;Python","dynamic programming;FORTRAN;iterative methods;parallel architectures;program compilers;search problems","tuning floating-point precision;dynamic program information;temporal locality;precision tuning;scalable search strategy;application settings one;additional important challenge;code refactoring;instruction-based search space;scientific codes;iterative search refinement;search complexity;search efficacy;application runtime performance improvements","","","",34.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Scalable yet Rigorous Floating-Point Error Analysis","A. Das; I. Briggs; G. Gopalakrishnan; S. Krishnamoorthy; P. Panchekha","University of Utah; University of Utah; University of Utah; Pacific Northwest National Laboratory; University of Utah","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"Automated techniques for rigorous floating-point round-off error analysis are a prerequisite to placing important activities in HPC such as precision allocation, verification, and code optimization on a formal footing. Yet existing techniques cannot provide tight bounds for expressions beyond a few dozen operators-barely enough for HPC. In this work, we offer an approach embedded in a new tool called SATIHE that scales error analysis by four orders of magnitude compared to today's best-of-class tools. We explain how three key ideas underlying SATIHE helps it attain such scale: path strength reduction, bound optimization, and abstraction. SATIHE provides tight bounds and rigorous guarantees on significantly larger expressions with well over a hundred thousand operators, covering important examples including FFT, matrix multiplication, and PDE stencils.","","978-1-7281-9998-6","10.1109/SC41405.2020.00055","U.S. Department of Energy; Office of Science; Advanced Scientific Computing Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355314","Floating-point arithmetic;Round-off error;Numerical Analysis;Symbolic Execution;Algorithmic Differentiation;Abstraction;Scalable Analysis","Error analysis;High performance computing;Tools;Resource management;Optimization","error analysis;fast Fourier transforms;floating point arithmetic;formal specification;matrix multiplication;optimisation;program diagnostics;roundoff errors","scalable yet rigorous floating-point error analysis;automated techniques;important activities;HPC;precision allocation;code optimization;formal footing;tight bounds;dozen operators-barely;SATIHE;scales error analysis;best-of-class tools;bound optimization;rigorous guarantees","",13.0,"",47.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"RDMP-KV: Designing Remote Direct Memory Persistence based Key-Value Stores with PMEM","T. Li; D. Shankar; S. Gugnani; X. Lu","Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University; Department of Computer Science and Engineering, The Ohio State University","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"Byte-addressable persistent memory (PMEM) can be directly manipulated by Remote Direct Memory Access (RDMA) capable networks. However, existing studies to combine RDMA and PMEM can not deliver the desired performance due to their PMEM-oblivious communication protocols. In this paper, we propose novel PMEM-aware RDMA-based communication protocols for persistent key-value stores, referred to as Remote Direct Memory Persistence based Key-Value stores (RDMPKV). RDMP-KV employs a hybrid `server-reply/server-bypass' approach to `durably' store individual key-value objects on PMEM-equipped servers. RDMP-KV's runtime can easily adapt to existing (server-assisted durability) and emerging (appliance durability) RDMA-capable interconnects, while ensuring server scalability through a lightweight consistency scheme. Performance evaluations show that RDMP-KV can improve the server-side performance with different persistent key-value storage architectures by up to 22x, as compared with PMEM-oblivious RDMA-`Server-Reply' protocols. Our evaluations also show that RDMP-KV outperforms a distributed PMEM-based filesystem by up to 65% and a recent RDMA-to-PMEM framework by up to 71%.","","978-1-7281-9998-6","10.1109/SC41405.2020.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355232","Next Generation Networking;RDMA;Data storage systems;Key-value Stores;Persistent Memory","Performance evaluation;Protocols;Runtime;Scalability;Computer architecture;Throughput;Servers","cache storage;computer network performance evaluation;file organisation;protocols","remote direct memory persistence;byte-addressable persistent memory;PMEM-oblivious communication protocols;PMEM-aware RDMA-based communication protocols;persistent key-value stores;key-value objects;PMEM-equipped servers;server-assisted durability;RDMA-capable interconnects;server scalability;server-side performance;distributed PMEM-based filesystem;RDMA-to-PMEM framework;persistent key-value storage architectures;PMEM-oblivious RDMA-server-reply protocols;RDMP-KV runtime;remote direct memory access capable networks;server-reply-server-bypass approach;performance evaluations","",1.0,"",37.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Compiler-Based Timing For Extremely Fine-Grain Preemptive Parallelism","S. Ghosh; M. Cuevas; S. Campanoni; P. Dinda","Department of Computer Science, Northwestern University; Department of Computer Science, Northwestern University; Department of Computer Science, Northwestern University; Department of Computer Science, Northwestern University","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"In current operating system kernels and run-time systems, timing is based on hardware timer interrupts, introducing inherent overheads that limit granularity. For example, the scheduling quantum of preemptive threads is limited, resulting in this abstraction being restricted to coarse-grain parallelism. Compiler-based timing replaces interrupts from the hardware timer with callbacks from compiler-injected code. We describe a system that achieves low-overhead timing using whole-program compiler transformations and optimizations combined with kernel and run-time support. A key novelty is new static analyses that achieve predictable, periodic run-time behavior from the transformed code, regardless of control-flow path. We transform the code of a kernel and run-time system to use compiler-based timing and leverage the resulting fine-grain timing to extend an implementation of fibers (cooperatively scheduled threads), attaining what is effectively preemptive scheduling. The result combines the fine granularity of the cooperative fiber model with the ease of programming of the preemptive thread model.","","978-1-7281-9998-6","10.1109/SC41405.2020.00057","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355250","timing;preemptive scheduling;fine-granularity parallelism","Instruction sets;Computational modeling;Parallel processing;Optical fiber networks;Hardware;Timing;Kernel","multi-threading;operating system kernels;processor scheduling;program compilers;program diagnostics","compiler-based timing;fine-grain preemptive parallelism;operating system kernels;run-time system;hardware timer interrupts;coarse-grain parallelism;compiler-injected code;low-overhead timing;whole-program compiler transformations;run-time support;run-time behavior;fine-grain timing;scheduling quantum;preemptive threads;static analyses;control-flow path;cooperatively scheduled threads;preemptive scheduling;cooperative fiber model","",6.0,"",57.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"OMPRacer: A Scalable and Precise Static Race Detector for OpenMP Programs","B. Swain; Y. Li; P. Liu; I. Laguna; G. Georgakoudis; J. Huang","Coderrect Inc, College Station, TX; Computer Science and Engineering, Texas A & M University, College Station, TX; Computer Science and Engineering, Texas A & M University, College Station, TX; Center for Applied Scientific Computing, Lawrence Livermore National Laboratory, Livermore, CA; Center for Applied Scientific Computing, Lawrence Livermore National Laboratory, Livermore, CA; Computer Science and Engineering, Texas A & M University, College Station, TX","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"We present OMPRACER, a static tool that uses flow-sensitive, interprocedural analysis to detect data races in OpenMP programs. OMPRACER is fast, scalable, has high code coverage, and supports the most common OpenMP features by combining state-of-the-art pointer analysis, novel value-flow analysis, happens-before tracking, and generalized modelling of OpenMP APIs. Unlike dynamic tools that currently dominate data race detection, OMPRACER achieves almost 100% code coverage using static analysis to detect a broader category of races without running the program or relying on specific input or runtime behaviour. OMPRACER has competitive precision with dynamic tools like Archer and ROMP: passing 105/116 cases in DataRaceBench with a total accuracy of 91%. OMPRACER has been used to analyze several Exascale Computing Project proxy applications containing over 2 million lines of code in under 10 minutes. OMPRACER has revealed previously unknown races in an ECP proxy app and a production simulation for COVID19.","","978-1-7281-9998-6","10.1109/SC41405.2020.00058","U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355249","OpenMP;Data race detection;Static analysis;Bug detection;Nondeterminism","Runtime;Exascale computing;Static analysis;Production;Tools;Hardware;Performance analysis","application program interfaces;parallel programming;program compilers;program debugging;program diagnostics;source code (software)","OMPRacer;OpenMP programs;static tool;interprocedural analysis;pointer analysis;value-flow analysis;OpenMP APIs;data race detection;code coverage;static analysis","",7.0,"",40.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
